,Opponent,Result
1930-07-18,Peru,Win
1930-07-21,Romania,Win
1930-07-27,Yugoslavia,Win
1930-07-30,Argentina,Win
1950-07-02,Bolivia,Win
1950-07-09,Spain,Draw
1950-07-13,Sweden,Win
1950-07-16,Brazil,Win
1954-06-16,Czechoslovakia,Win
1954-06-19,Scotland,Win
1954-06-26,England,Win
1954-06-30,Hungary,Loss
1954-07-03,Austria,Loss
1962-05-30,Colombia,Win
1962-06-02,Yugoslavia,Loss
1962-06-06,Soviet Union,Loss
1966-07-11,England,Draw
1966-07-15,France,Win
1966-07-19,Mexico,Draw
1966-07-23,West Germany,Loss
1970-06-02,Israel,Win
1970-06-06,Italy,Draw
1970-06-10,Sweden,Loss
1970-06-14,Soviet Union,Win
1970-06-17,Brazil,Loss
1970-06-20,West Germany,Loss
1974-06-15,Netherlands,Loss
1974-06-19,Bulgaria,Draw
1974-06-23,Sweden,Loss
1986-06-04,West Germany,Draw
1986-06-08,Denmark,Loss
1986-06-13,Scotland,Draw
1986-06-16,Argentina,Loss
1990-06-13,Spain,Draw
1990-06-17,Belgium,Loss
1990-06-21,South Korea,Win
1990-06-25,Italy,Loss
2002-06-01,Denmark,Loss
2002-06-06,France,Draw
2002-06-11,Senegal,Draw
2010-06-11,France,Draw
2010-06-16,South Africa,Win
2010-06-22,Mexico,Win
2010-06-26,South Korea,Win
2010-07-02,Ghana,Win
2010-07-06,Netherlands,Loss
2010-07-10,Germany,Loss
2014-06-14,Costa Rica,Loss
2014-06-19,England,Win
2014-06-24,Italy,Win
2014-06-28,Colombia,Loss
2014-06-28,Colombia,Loss
