Opponent,Wins,Matches,Win %
Argentina,4.0,4,100.0
United States,3.0,3,100.0
Algeria,2.0,2,100.0
Belgium,2.0,2,100.0
France,2.0,2,100.0
Portugal,2.0,2,100.0
South Korea,2.0,2,100.0
Sweden,2.0,2,100.0
Australia,1.0,1,100.0
Austria,1.0,1,100.0
Bolivia,1.0,1,100.0
Cameroon,1.0,1,100.0
Costa Rica,1.0,1,100.0
Ecuador,1.0,1,100.0
England,1.0,1,100.0
Iran,1.0,1,100.0
Mexico,1.0,1,100.0
Paraguay,1.0,1,100.0
Poland,1.0,1,100.0
Saudi Arabia,1.0,1,100.0
Uruguay,1.0,1,100.0
Ghana,1.5,2,75.0
Brazil,2.0,3,66.66666666666666
Republic of Ireland,0.5,1,50.0
Yugoslavia,0.5,1,50.0
Spain,0.5,2,25.0
Switzerland,0.5,2,25.0
Bulgaria,0.0,1,0.0
Croatia,0.0,1,0.0
Czechoslovakia,0.0,1,0.0
Italy,0.0,1,0.0
Serbia,0.0,1,0.0
