Opponent,Wins,Matches,Win %
Argentina,4.0,4,100.00%
United States,3.0,3,100.00%
Brazil,2.0,3,66.67%
Algeria,2.0,2,100.00%
Spain,0.5,2,25.00%
Ghana,1.5,2,75.00%
France,2.0,2,100.00%
Portugal,2.0,2,100.00%
South Korea,2.0,2,100.00%
Sweden,2.0,2,100.00%
Switzerland,0.5,2,25.00%
Belgium,2.0,2,100.00%
Paraguay,1.0,1,100.00%
Serbia,0.0,1,0.00%
Saudi Arabia,1.0,1,100.00%
Republic of Ireland,0.5,1,50.00%
Uruguay,1.0,1,100.00%
Poland,1.0,1,100.00%
Iran,1.0,1,100.00%
Mexico,1.0,1,100.00%
Italy,0.0,1,0.00%
England,1.0,1,100.00%
Ecuador,1.0,1,100.00%
Czechoslovakia,0.0,1,0.00%
Croatia,0.0,1,0.00%
Costa Rica,1.0,1,100.00%
Cameroon,1.0,1,100.00%
Bulgaria,0.0,1,0.00%
Bolivia,1.0,1,100.00%
Austria,1.0,1,100.00%
Australia,1.0,1,100.00%
Yugoslavia,0.5,1,50.00%
